GENESIS-Tabelle: 63121-0003;;;;;;;;;;
Einkommen und Einnahmen sowie Ausgaben privater Haushalte;;;;;;;;;;
(Laufende Wirtschaftsrechnungen): Deutschland, Jahre,;;;;;;;;;;
Haushaltsnettoeinkommensklassen;;;;;;;;;;
Laufende Wirtschaftsrechnungen: Haushaltsbuch;;;;;;;;;;
Deutschland;;;;;;;;;;
;;;;Haushaltsnettoeinkommensklassen;Haushaltsnettoeinkommensklassen;Haushaltsnettoeinkommensklassen;Haushaltsnettoeinkommensklassen;Haushaltsnettoeinkommensklassen;Haushaltsnettoeinkommensklassen;Haushaltsnettoeinkommensklassen
;;;;unter 1300 EUR;1300 EUR bis unter 1700 EUR;1700 EUR bis unter 2600 EUR;2600 EUR bis unter 3600 EUR;3600 EUR bis unter 5000 EUR;5000 EUR und mehr;Insgesamt
2019;Erfasste Haushalte;;Anzahl;800;611;1516;1395;1395;1780;7497
2019;Hochgerechnete Haushalte;;1000;4994;3420;7757;6904;6491;8428;37993
2019;Durchschnittsbetrag je Haushalt und Monat;Haushaltsnettoeinkommen;EUR;945;1502;2149;3061;4238;7220;3580
__________;;;;;;;;;;
© Statistisches Bundesamt (Destatis), 2021;;;;;;;;;;
Stand: 01.03.2021 / 16:59:09;;;;;;;;;;
