Construct;Indicator;C.V.R.2;C.V.PC;VIF;Original.Est.Wt.;Bootstrap.Mean.Wt.;t(431) (weight);0.in.Wt.CI;Original.Est.Ld.;Bootstrap.Mean.Ld.;t(431) (loading);0.in.Ld.CI
Perceived Response Efficacy;CORB4;0.59;0.77;2.13;0.47;0.47;6.88;FALSE;0.91;0.91;36.06;FALSE
Perceived Response Efficacy;CORB5;0.59;0.77;1.43;0.25;0.25;4.76;FALSE;0.71;0.71;19.8;FALSE
Perceived Response Efficacy;CORB6;0.59;0.77;2.17;0.43;0.43;6.46;FALSE;0.9;0.9;34.62;FALSE
Perceived Response Costs;CORB7;0.55;0.74;1.58;0.24;0.24;2.76;FALSE;0.74;0.74;13.5;FALSE
Perceived Response Costs;CORB8;0.55;0.74;1.3;0.32;0.32;3.7;FALSE;0.71;0.71;10.39;FALSE
Perceived Response Costs;CORB9;0.55;0.74;1.76;0.63;0.63;7.16;FALSE;0.93;0.93;29.85;FALSE
Descriptive Norm;CODN1;0.65;0.81;1.65;0.41;0.4;3.77;FALSE;0.84;0.84;17.11;FALSE
Descriptive Norm;CODN2;0.65;0.81;1.65;0.69;0.69;7.44;FALSE;0.95;0.94;30.76;FALSE
Behavioral Intention;COBI1;0.73;0.86;1.7;0.43;0.43;6.7;FALSE;0.85;0.85;24.27;FALSE
Behavioral Intention;COBI2;0.73;0.86;1.16;0.29;0.28;5.11;FALSE;0.61;0.6;12.62;FALSE
Behavioral Intention;COBI3;0.73;0.86;1.71;0.52;0.52;8.14;FALSE;0.89;0.88;28.92;FALSE
